token,date_in,buy_price,date_out,sell_price,profit_percentage
LTCUSDT,2022-08-19,53.99,2022-10-25,55.92,3.5747360622337467
LTCUSDT,2022-12-16,66.25,2023-01-03,75.57,14.067924528301875
LTCUSDT,2023-03-09,76.68,2023-04-14,96.33,25.62597809076681
LTCUSDT,2023-05-08,77.71,2023-06-30,108.7,39.87903744691804
LTCUSDT,2023-08-03,82.55,2023-10-23,69.02,-16.3900666262871
LTCUSDT,2024-01-03,65.24,2024-02-11,71.55,9.67198038013489
LTCUSDT,2024-04-13,77.33,2024-05-20,88.64,14.625630415104101
LTCUSDT,2024-07-04,65.42,2024-09-22,68.68,4.983185570162037
LUNAUSDT,2022-05-07,68.13,2022-08-01,2.2735,-96.66299721121385
LUNAUSDT,2022-08-19,1.5938,2022-09-09,5.1142,220.88091353996737
LUNAUSDT,2022-11-08,1.9145,2023-01-09,1.5756,-17.70174980412641
LUNAUSDT,2023-02-09,1.7738,2023-04-12,1.4136,-20.306686210395764
LUNAUSDT,2023-05-08,0.9553,2023-07-22,0.687,-28.08541819323772
LUNAUSDT,2023-08-15,0.4993,2023-09-26,0.4469,-10.494692569597436
LUNAUSDT,2024-01-03,0.7011,2024-02-15,0.7317,4.3645699614890985
LUNAUSDT,2024-04-13,0.578,2024-05-30,0.6807,17.7681660899654
LUNAUSDT,2024-07-05,0.3357,2024-08-23,0.369,9.919571045576406
LUNAUSDT,2024-10-25,0.3233,2024-11-11,0.3989,23.383854005567585
MANAUSDT,2022-05-11,0.7721,2022-07-19,1.0008,29.62051547726977
MANAUSDT,2022-08-19,0.8417,2022-10-30,0.6715,-20.22098134727338
MANAUSDT,2022-11-09,0.4587,2023-01-07,0.3513,-23.413996075866578
MANAUSDT,2023-06-07,0.4196,2023-07-01,0.4191,-0.11916110581506208
MANAUSDT,2023-08-16,0.3283,2023-09-29,0.3158,-3.807493146512323
MANAUSDT,2024-04-12,0.5166,2024-05-20,0.4655,-9.891598915989146
MANAUSDT,2024-06-18,0.3246,2024-08-23,0.3086,-4.929143561306228
MATICUSDT,2022-01-21,1.699,2022-02-07,2.018,18.775750441436124
MATICUSDT,2022-04-29,1.14,2022-07-14,0.7096,-37.754385964912274
MATICUSDT,2022-08-19,0.7695,2022-10-05,0.8512,10.617283950617285
MATICUSDT,2023-05-09,0.8763,2023-05-27,0.9203,5.02111149149835
MATICUSDT,2023-06-07,0.7651,2023-07-03,0.7148,-6.5743040125473815
MATICUSDT,2023-08-17,0.5718,2023-10-01,0.5691,-0.47219307450156084
MATICUSDT,2024-04-12,0.7654,2024-08-21,0.5251,-31.395348837209298
MKRUSDT,2022-06-12,913.0,2022-07-18,1049.0,14.895947426067908
MKRUSDT,2022-08-18,895.0,2022-10-03,809.0,-9.608938547486034
MKRUSDT,2022-11-08,716.0,2023-01-08,593.0,-17.178770949720672
MKRUSDT,2023-05-11,623.0,2023-06-02,662.0,6.260032102728733
MKRUSDT,2023-08-17,1088.0,2023-09-15,1280.0,17.647058823529413
MKRUSDT,2024-04-13,2795.0,2024-05-20,3166.0,13.273703041144902
MKRUSDT,2024-08-03,2314.0,2024-09-27,1705.0,-26.3180639585134
NEARUSDT,2022-05-11,6.508,2022-07-18,4.062,-37.584511370620774
